algo,mse,alpha,dataset
random_sim,0.9173,1.0,people
greedy_sim,0.9083,1.0,people
albopt,0.8516,1.0,people
albopt_pow2,1.1608,1.0,people
albopt_pow2_max_c,1.1038,1.0,people
random_sim,1.3044,1.0,people
greedy_sim,1.0692,1.0,people
albopt,0.5932,1.0,people
albopt_pow2,0.564,1.0,people
albopt_pow2_max_c,0.6727,1.0,people
random_sim,1.2447,1.0,people
greedy_sim,0.9509,1.0,people
albopt,1.0102,1.0,people
albopt_pow2,1.4483,1.0,people
albopt_pow2_max_c,1.0656,1.0,people
random_sim,0.8042,1.0,people
greedy_sim,1.468,1.0,people
albopt,0.9542,1.0,people
albopt_pow2,1.297,1.0,people
albopt_pow2_max_c,1.5129,1.0,people
random_sim,1.3935,1.0,people
greedy_sim,1.5366,1.0,people
albopt,0.4775,1.0,people
albopt_pow2,0.6708,1.0,people
albopt_pow2_max_c,0.7146,1.0,people
random_sim,1.0439,1.0,people
greedy_sim,0.6122,1.0,people
albopt,0.6242,1.0,people
albopt_pow2,0.5347,1.0,people
albopt_pow2_max_c,0.538,1.0,people
random_sim,0.9016,1.0,people
greedy_sim,0.5188,1.0,people
albopt,0.9599,1.0,people
albopt_pow2,1.6166,1.0,people
albopt_pow2_max_c,1.6399,1.0,people
random_sim,1.2233,1.0,people
greedy_sim,1.8277,1.0,people
albopt,1.3489,1.0,people
albopt_pow2,1.7836,1.0,people
albopt_pow2_max_c,1.6268,1.0,people
random_sim,1.2108,1.0,people
greedy_sim,1.8771,1.0,people
albopt,0.5496,1.0,people
albopt_pow2,0.7011,1.0,people
albopt_pow2_max_c,0.6425,1.0,people
random_sim,1.3773,1.0,people
greedy_sim,0.7077,1.0,people
albopt,0.9199,1.0,people
albopt_pow2,1.7437,1.0,people
albopt_pow2_max_c,1.7929,1.0,people
random_sim,0.9135,1.0,people
greedy_sim,1.6769,1.0,people
albopt,0.3777,1.0,people
albopt_pow2,0.3567,1.0,people
albopt_pow2_max_c,0.3608,1.0,people
random_sim,1.0729,1.0,people
greedy_sim,0.5811,1.0,people
albopt,0.3275,1.0,people
albopt_pow2,0.473,1.0,people
albopt_pow2_max_c,0.3086,1.0,people
random_sim,0.7723,1.0,people
greedy_sim,0.5792,1.0,people
albopt,0.9721,1.0,people
albopt_pow2,0.9803,1.0,people
albopt_pow2_max_c,1.4314,1.0,people
random_sim,1.7564,1.0,people
greedy_sim,0.926,1.0,people
albopt,0.9811,1.0,people
albopt_pow2,1.2141,1.0,people
albopt_pow2_max_c,1.0431,1.0,people
random_sim,0.6153,1.0,people
greedy_sim,1.1673,1.0,people
albopt,0.6851,1.0,people
albopt_pow2,0.9944,1.0,people
albopt_pow2_max_c,0.9875,1.0,people
random_sim,0.8001,1.0,people
greedy_sim,1.0963,1.0,people
albopt,0.695,1.0,people
albopt_pow2,1.2781,1.0,people
albopt_pow2_max_c,1.1115,1.0,people
random_sim,1.0883,1.0,people
greedy_sim,1.3305,1.0,people
albopt,0.7213,1.0,people
albopt_pow2,0.6729,1.0,people
albopt_pow2_max_c,0.6914,1.0,people
random_sim,1.0053,1.0,people
greedy_sim,0.5995,1.0,people
albopt,0.6289,1.0,people
albopt_pow2,0.8855,1.0,people
albopt_pow2_max_c,0.8114,1.0,people
random_sim,0.63,1.0,people
greedy_sim,0.9101,1.0,people
albopt,0.3986,1.0,people
albopt_pow2,0.3801,1.0,people
albopt_pow2_max_c,0.5746,1.0,people
random_sim,1.283,1.0,people
greedy_sim,0.8649,1.0,people
albopt,0.7787,1.0,people
albopt_pow2,0.9267,1.0,people
albopt_pow2_max_c,0.9725,1.0,people
random_sim,0.5133,1.0,people
greedy_sim,0.9796,1.0,people
albopt,0.6641,1.0,people
albopt_pow2,0.8338,1.0,people
albopt_pow2_max_c,1.1637,1.0,people
random_sim,0.8667,1.0,people
greedy_sim,0.9017,1.0,people
albopt,0.5887,1.0,people
albopt_pow2,0.6148,1.0,people
albopt_pow2_max_c,0.6509,1.0,people
random_sim,0.8201,1.0,people
greedy_sim,0.8027,1.0,people
albopt,0.3188,1.0,people
albopt_pow2,0.5608,1.0,people
albopt_pow2_max_c,0.4593,1.0,people
random_sim,1.5905,1.0,people
greedy_sim,0.4982,1.0,people
albopt,0.8209,1.0,people
albopt_pow2,0.9352,1.0,people
albopt_pow2_max_c,0.9453,1.0,people
random_sim,0.5722,1.0,people
greedy_sim,0.6881,1.0,people
albopt,0.6149,1.0,people
albopt_pow2,0.666,1.0,people
albopt_pow2_max_c,0.6588,1.0,people
random_sim,0.6898,1.0,people
greedy_sim,0.7764,1.0,people
albopt,1.2066,1.0,people
albopt_pow2,1.8773,1.0,people
albopt_pow2_max_c,1.9932,1.0,people
random_sim,0.9893,1.0,people
greedy_sim,1.9183,1.0,people
albopt,0.6516,1.0,people
albopt_pow2,0.4514,1.0,people
albopt_pow2_max_c,0.7296,1.0,people
random_sim,1.677,1.0,people
greedy_sim,0.4699,1.0,people
albopt,0.8135,1.0,people
albopt_pow2,1.0008,1.0,people
albopt_pow2_max_c,0.8034,1.0,people
random_sim,1.3106,1.0,people
greedy_sim,1.0987,1.0,people
albopt,0.611,1.0,people
albopt_pow2,0.835,1.0,people
albopt_pow2_max_c,0.8236,1.0,people
random_sim,0.5399,1.0,people
greedy_sim,1.0277,1.0,people
albopt,0.5089,1.0,people
albopt_pow2,0.6559,1.0,people
albopt_pow2_max_c,0.5896,1.0,people
random_sim,2.8918,1.0,people
greedy_sim,0.8171,1.0,people
albopt,0.3803,1.0,people
albopt_pow2,0.5483,1.0,people
albopt_pow2_max_c,0.7454,1.0,people
random_sim,0.8302,1.0,people
greedy_sim,0.6083,1.0,people
albopt,0.6163,1.0,people
albopt_pow2,1.1455,1.0,people
albopt_pow2_max_c,1.1603,1.0,people
random_sim,1.5089,1.0,people
greedy_sim,1.046,1.0,people
albopt,0.2764,1.0,people
albopt_pow2,0.7113,1.0,people
albopt_pow2_max_c,0.8216,1.0,people
random_sim,0.6377,1.0,people
greedy_sim,0.7391,1.0,people
albopt,0.4726,1.0,people
albopt_pow2,0.4948,1.0,people
albopt_pow2_max_c,0.4637,1.0,people
random_sim,1.3559,1.0,people
greedy_sim,0.5008,1.0,people
albopt,0.8536,1.0,people
albopt_pow2,0.8503,1.0,people
albopt_pow2_max_c,0.9589,1.0,people
random_sim,0.97,1.0,people
greedy_sim,1.0213,1.0,people
albopt,0.985,1.0,people
albopt_pow2,0.6498,1.0,people
albopt_pow2_max_c,0.8887,1.0,people
random_sim,1.9285,1.0,people
greedy_sim,0.6655,1.0,people
albopt,0.7691,1.0,people
albopt_pow2,0.8425,1.0,people
albopt_pow2_max_c,0.8919,1.0,people
random_sim,1.1797,1.0,people
greedy_sim,1.0562,1.0,people
albopt,0.662,1.0,people
albopt_pow2,0.816,1.0,people
albopt_pow2_max_c,1.482,1.0,people
random_sim,0.6385,1.0,people
greedy_sim,0.8263,1.0,people
albopt,0.9345,1.0,people
albopt_pow2,1.723,1.0,people
albopt_pow2_max_c,1.4128,1.0,people
random_sim,3.8426,1.0,people
greedy_sim,1.6778,1.0,people
albopt,0.7674,1.0,people
albopt_pow2,0.838,1.0,people
albopt_pow2_max_c,0.9304,1.0,people
random_sim,2.0645,1.0,people
greedy_sim,0.891,1.0,people
albopt,1.0351,1.0,people
albopt_pow2,1.7622,1.0,people
albopt_pow2_max_c,1.7529,1.0,people
random_sim,0.6812,1.0,people
greedy_sim,1.3666,1.0,people
albopt,0.5582,1.0,people
albopt_pow2,0.6488,1.0,people
albopt_pow2_max_c,0.5674,1.0,people
random_sim,0.7938,1.0,people
greedy_sim,0.553,1.0,people
albopt,0.9131,1.0,people
albopt_pow2,1.0073,1.0,people
albopt_pow2_max_c,1.1917,1.0,people
random_sim,0.5945,1.0,people
greedy_sim,0.941,1.0,people
albopt,0.2104,1.0,people
albopt_pow2,0.3372,1.0,people
albopt_pow2_max_c,0.5172,1.0,people
random_sim,0.6087,1.0,people
greedy_sim,0.4662,1.0,people
albopt,0.9116,1.0,people
albopt_pow2,0.8496,1.0,people
albopt_pow2_max_c,0.9403,1.0,people
random_sim,1.9053,1.0,people
greedy_sim,0.9664,1.0,people
albopt,0.4556,5.0,people
albopt_pow2,0.6646,5.0,people
albopt_pow2_max_c,0.6552,5.0,people
random_sim,0.2859,5.0,people
greedy_sim,0.7078,5.0,people
albopt,0.2615,5.0,people
albopt_pow2,0.2943,5.0,people
albopt_pow2_max_c,0.5098,5.0,people
random_sim,0.8863,5.0,people
greedy_sim,0.3863,5.0,people
albopt,0.7025,5.0,people
albopt_pow2,0.9458,5.0,people
albopt_pow2_max_c,1.0108,5.0,people
random_sim,0.9571,5.0,people
greedy_sim,1.0982,5.0,people
albopt,0.6904,5.0,people
albopt_pow2,1.3146,5.0,people
albopt_pow2_max_c,1.3446,5.0,people
random_sim,0.6571,5.0,people
greedy_sim,1.6509,5.0,people
albopt,0.1872,5.0,people
albopt_pow2,0.391,5.0,people
albopt_pow2_max_c,0.4267,5.0,people
random_sim,0.4328,5.0,people
greedy_sim,0.5681,5.0,people
albopt,0.599,5.0,people
albopt_pow2,0.6923,5.0,people
albopt_pow2_max_c,0.6556,5.0,people
random_sim,0.1912,5.0,people
greedy_sim,0.6293,5.0,people
albopt,0.2598,5.0,people
albopt_pow2,0.3429,5.0,people
albopt_pow2_max_c,0.4327,5.0,people
random_sim,1.0113,5.0,people
greedy_sim,0.5445,5.0,people
albopt,0.5618,5.0,people
albopt_pow2,0.6894,5.0,people
albopt_pow2_max_c,0.7671,5.0,people
random_sim,0.6519,5.0,people
greedy_sim,0.8165,5.0,people
albopt,0.5775,5.0,people
albopt_pow2,1.2019,5.0,people
albopt_pow2_max_c,1.2144,5.0,people
random_sim,1.0368,5.0,people
greedy_sim,0.9295,5.0,people
albopt,0.5135,5.0,people
albopt_pow2,1.0,5.0,people
albopt_pow2_max_c,0.9494,5.0,people
random_sim,0.8336,5.0,people
greedy_sim,0.5962,5.0,people
albopt,0.4884,5.0,people
albopt_pow2,0.8876,5.0,people
albopt_pow2_max_c,0.9053,5.0,people
random_sim,0.394,5.0,people
greedy_sim,0.8562,5.0,people
albopt,0.3848,5.0,people
albopt_pow2,0.603,5.0,people
albopt_pow2_max_c,0.6219,5.0,people
random_sim,0.6998,5.0,people
greedy_sim,0.9709,5.0,people
albopt,0.6646,5.0,people
albopt_pow2,1.2775,5.0,people
albopt_pow2_max_c,1.5878,5.0,people
random_sim,0.5629,5.0,people
greedy_sim,1.3393,5.0,people
albopt,0.3511,5.0,people
albopt_pow2,0.6653,5.0,people
albopt_pow2_max_c,0.7064,5.0,people
random_sim,0.5981,5.0,people
greedy_sim,0.8673,5.0,people
albopt,0.7641,5.0,people
albopt_pow2,1.1636,5.0,people
albopt_pow2_max_c,1.026,5.0,people
random_sim,0.4541,5.0,people
greedy_sim,1.0177,5.0,people
albopt,1.1171,5.0,people
albopt_pow2,1.7305,5.0,people
albopt_pow2_max_c,1.7316,5.0,people
random_sim,0.5396,5.0,people
greedy_sim,1.6311,5.0,people
albopt,0.5504,5.0,people
albopt_pow2,0.9657,5.0,people
albopt_pow2_max_c,1.0986,5.0,people
random_sim,0.4904,5.0,people
greedy_sim,1.2005,5.0,people
albopt,0.3686,5.0,people
albopt_pow2,0.6914,5.0,people
albopt_pow2_max_c,0.7238,5.0,people
random_sim,0.1627,5.0,people
greedy_sim,0.892,5.0,people
albopt,0.4909,5.0,people
albopt_pow2,0.5457,5.0,people
albopt_pow2_max_c,0.6205,5.0,people
random_sim,0.4009,5.0,people
greedy_sim,0.6222,5.0,people
albopt,0.4698,5.0,people
albopt_pow2,0.6427,5.0,people
albopt_pow2_max_c,0.5964,5.0,people
random_sim,0.5897,5.0,people
greedy_sim,0.9416,5.0,people
albopt,0.4406,5.0,people
albopt_pow2,0.8187,5.0,people
albopt_pow2_max_c,0.7222,5.0,people
random_sim,0.7291,5.0,people
greedy_sim,0.6914,5.0,people
albopt,0.4497,5.0,people
albopt_pow2,0.5897,5.0,people
albopt_pow2_max_c,0.6068,5.0,people
random_sim,0.8274,5.0,people
greedy_sim,0.5184,5.0,people
albopt,0.7853,5.0,people
albopt_pow2,1.3411,5.0,people
albopt_pow2_max_c,1.1411,5.0,people
random_sim,0.4264,5.0,people
greedy_sim,1.6099,5.0,people
albopt,0.3925,5.0,people
albopt_pow2,0.8549,5.0,people
albopt_pow2_max_c,0.8853,5.0,people
random_sim,0.454,5.0,people
greedy_sim,0.8207,5.0,people
albopt,0.1088,5.0,people
albopt_pow2,0.224,5.0,people
albopt_pow2_max_c,0.3035,5.0,people
random_sim,0.7985,5.0,people
greedy_sim,0.2814,5.0,people
albopt,0.6501,5.0,people
albopt_pow2,1.0345,5.0,people
albopt_pow2_max_c,0.7708,5.0,people
random_sim,0.7659,5.0,people
greedy_sim,0.9514,5.0,people
albopt,0.9765,5.0,people
albopt_pow2,1.2329,5.0,people
albopt_pow2_max_c,1.156,5.0,people
random_sim,0.4506,5.0,people
greedy_sim,1.3328,5.0,people
albopt,0.2047,5.0,people
albopt_pow2,0.3912,5.0,people
albopt_pow2_max_c,0.294,5.0,people
random_sim,0.6414,5.0,people
greedy_sim,0.5118,5.0,people
albopt,0.5759,5.0,people
albopt_pow2,0.7387,5.0,people
albopt_pow2_max_c,0.8819,5.0,people
random_sim,1.4083,5.0,people
greedy_sim,1.3989,5.0,people
albopt,0.5828,5.0,people
albopt_pow2,0.7407,5.0,people
albopt_pow2_max_c,0.6708,5.0,people
random_sim,1.2472,5.0,people
greedy_sim,0.8852,5.0,people
albopt,0.4,5.0,people
albopt_pow2,0.8569,5.0,people
albopt_pow2_max_c,1.1065,5.0,people
random_sim,0.6789,5.0,people
greedy_sim,0.8571,5.0,people
albopt,0.4354,5.0,people
albopt_pow2,0.9346,5.0,people
albopt_pow2_max_c,0.8164,5.0,people
random_sim,0.6535,5.0,people
greedy_sim,1.2232,5.0,people
albopt,0.5204,5.0,people
albopt_pow2,0.739,5.0,people
albopt_pow2_max_c,0.6788,5.0,people
random_sim,0.8479,5.0,people
greedy_sim,0.6867,5.0,people
albopt,0.6018,5.0,people
albopt_pow2,1.1411,5.0,people
albopt_pow2_max_c,0.8838,5.0,people
random_sim,0.5878,5.0,people
greedy_sim,1.2244,5.0,people
albopt,0.2099,5.0,people
albopt_pow2,0.4047,5.0,people
albopt_pow2_max_c,0.4135,5.0,people
random_sim,0.6587,5.0,people
greedy_sim,0.4189,5.0,people
albopt,0.3515,5.0,people
albopt_pow2,0.6996,5.0,people
albopt_pow2_max_c,0.4179,5.0,people
random_sim,0.428,5.0,people
greedy_sim,0.654,5.0,people
albopt,0.252,5.0,people
albopt_pow2,0.494,5.0,people
albopt_pow2_max_c,0.6569,5.0,people
random_sim,0.6465,5.0,people
greedy_sim,0.5371,5.0,people
albopt,0.4709,5.0,people
albopt_pow2,0.9841,5.0,people
albopt_pow2_max_c,0.7823,5.0,people
random_sim,1.1543,5.0,people
greedy_sim,1.2008,5.0,people
albopt,0.165,5.0,people
albopt_pow2,0.3591,5.0,people
albopt_pow2_max_c,0.49,5.0,people
random_sim,1.0397,5.0,people
greedy_sim,0.4896,5.0,people
albopt,0.3156,5.0,people
albopt_pow2,0.621,5.0,people
albopt_pow2_max_c,0.9271,5.0,people
random_sim,0.3624,5.0,people
greedy_sim,0.5772,5.0,people
albopt,0.6709,5.0,people
albopt_pow2,1.0691,5.0,people
albopt_pow2_max_c,1.2092,5.0,people
random_sim,0.5716,5.0,people
greedy_sim,1.4074,5.0,people
albopt,0.2909,5.0,people
albopt_pow2,0.5749,5.0,people
albopt_pow2_max_c,0.6879,5.0,people
random_sim,0.6557,5.0,people
greedy_sim,0.6924,5.0,people
albopt,0.3604,5.0,people
albopt_pow2,0.5955,5.0,people
albopt_pow2_max_c,0.6289,5.0,people
random_sim,0.4948,5.0,people
greedy_sim,0.8342,5.0,people
albopt,0.5208,5.0,people
albopt_pow2,0.8823,5.0,people
albopt_pow2_max_c,0.9132,5.0,people
random_sim,0.7686,5.0,people
greedy_sim,0.9854,5.0,people
albopt,0.5457,5.0,people
albopt_pow2,0.6614,5.0,people
albopt_pow2_max_c,0.5506,5.0,people
random_sim,0.9194,5.0,people
greedy_sim,0.5235,5.0,people
albopt,0.4154,5.0,people
albopt_pow2,0.6627,5.0,people
albopt_pow2_max_c,0.8043,5.0,people
random_sim,0.8501,5.0,people
greedy_sim,0.5898,5.0,people
albopt,0.2686,5.0,people
albopt_pow2,0.3825,5.0,people
albopt_pow2_max_c,0.6326,5.0,people
random_sim,0.8008,5.0,people
greedy_sim,0.4978,5.0,people
albopt,0.2233,5.0,people
albopt_pow2,0.4195,5.0,people
albopt_pow2_max_c,0.3628,5.0,people
random_sim,1.7048,5.0,people
greedy_sim,0.552,5.0,people
albopt,0.595,5.0,people
albopt_pow2,0.6488,5.0,people
albopt_pow2_max_c,0.6728,5.0,people
random_sim,0.5323,5.0,people
greedy_sim,0.6794,5.0,people
albopt,0.4179,5.0,people
albopt_pow2,0.6015,5.0,people
albopt_pow2_max_c,0.6116,5.0,people
random_sim,0.5041,5.0,people
greedy_sim,1.0321,5.0,people
albopt,0.1715,5.0,people
albopt_pow2,0.459,5.0,people
albopt_pow2_max_c,0.3426,5.0,people
random_sim,0.7442,5.0,people
greedy_sim,0.4034,5.0,people
albopt,0.4907,5.0,people
albopt_pow2,0.8214,5.0,people
albopt_pow2_max_c,1.0249,5.0,people
random_sim,0.4751,5.0,people
greedy_sim,0.8459,5.0,people
albopt,0.2914,5.0,people
albopt_pow2,0.3138,5.0,people
albopt_pow2_max_c,0.3654,5.0,people
random_sim,0.2166,5.0,people
greedy_sim,0.3727,5.0,people
albopt,0.3254,5.0,people
albopt_pow2,0.4912,5.0,people
albopt_pow2_max_c,0.3644,5.0,people
random_sim,0.446,5.0,people
greedy_sim,0.7266,5.0,people
albopt,0.2708,5.0,people
albopt_pow2,0.7785,5.0,people
albopt_pow2_max_c,0.975,5.0,people
random_sim,2.0921,5.0,people
greedy_sim,0.5552,5.0,people
albopt,0.5156,5.0,people
albopt_pow2,0.6186,5.0,people
albopt_pow2_max_c,0.4843,5.0,people
random_sim,0.4341,5.0,people
greedy_sim,0.6765,5.0,people
albopt,0.6512,5.0,people
albopt_pow2,0.8035,5.0,people
albopt_pow2_max_c,0.6034,5.0,people
random_sim,0.9561,5.0,people
greedy_sim,0.6781,5.0,people
albopt,0.6587,5.0,people
albopt_pow2,1.0045,5.0,people
albopt_pow2_max_c,0.9679,5.0,people
random_sim,0.6951,5.0,people
greedy_sim,1.0698,5.0,people
albopt,0.5836,5.0,people
albopt_pow2,0.8845,5.0,people
albopt_pow2_max_c,1.1542,5.0,people
random_sim,0.5671,5.0,people
greedy_sim,1.0078,5.0,people
albopt,0.4628,5.0,people
albopt_pow2,0.6403,5.0,people
albopt_pow2_max_c,0.5997,5.0,people
random_sim,0.6828,5.0,people
greedy_sim,0.3356,5.0,people
albopt,0.5047,5.0,people
albopt_pow2,0.7183,5.0,people
albopt_pow2_max_c,0.6417,5.0,people
random_sim,2.3392,5.0,people
greedy_sim,0.6612,5.0,people
albopt,0.9366,5.0,people
albopt_pow2,1.4823,5.0,people
albopt_pow2_max_c,1.5415,5.0,people
random_sim,0.4214,5.0,people
greedy_sim,1.5952,5.0,people
albopt,0.5129,5.0,people
albopt_pow2,1.0112,5.0,people
albopt_pow2_max_c,0.9403,5.0,people
random_sim,1.0868,5.0,people
greedy_sim,1.0082,5.0,people
albopt,0.6826,5.0,people
albopt_pow2,1.1817,5.0,people
albopt_pow2_max_c,1.4459,5.0,people
random_sim,0.1542,5.0,people
greedy_sim,1.2821,5.0,people
albopt,0.3642,5.0,people
albopt_pow2,0.4089,5.0,people
albopt_pow2_max_c,0.4642,5.0,people
random_sim,0.8805,5.0,people
greedy_sim,0.3774,5.0,people
albopt,0.3646,5.0,people
albopt_pow2,0.6286,5.0,people
albopt_pow2_max_c,0.6749,5.0,people
random_sim,0.7269,5.0,people
greedy_sim,0.6267,5.0,people
albopt,0.2988,5.0,people
albopt_pow2,0.533,5.0,people
albopt_pow2_max_c,0.5778,5.0,people
random_sim,0.8053,5.0,people
greedy_sim,0.4653,5.0,people
albopt,0.7806,5.0,people
albopt_pow2,0.9063,5.0,people
albopt_pow2_max_c,1.1391,5.0,people
random_sim,0.682,5.0,people
greedy_sim,0.7992,5.0,people
albopt,0.4761,5.0,people
albopt_pow2,0.6446,5.0,people
albopt_pow2_max_c,0.7549,5.0,people
random_sim,1.0014,5.0,people
greedy_sim,0.9073,5.0,people
albopt,0.3559,5.0,people
albopt_pow2,0.61,5.0,people
albopt_pow2_max_c,0.6334,5.0,people
random_sim,0.4325,5.0,people
greedy_sim,0.6289,5.0,people
albopt,0.7209,5.0,people
albopt_pow2,1.1933,5.0,people
albopt_pow2_max_c,1.3601,5.0,people
random_sim,1.8903,5.0,people
greedy_sim,0.7933,5.0,people
albopt,0.3199,5.0,people
albopt_pow2,0.5006,5.0,people
albopt_pow2_max_c,0.4797,5.0,people
random_sim,0.4323,5.0,people
greedy_sim,0.6371,5.0,people
albopt,0.1765,5.0,people
albopt_pow2,0.3783,5.0,people
albopt_pow2_max_c,0.6367,5.0,people
random_sim,1.1547,5.0,people
greedy_sim,0.4663,5.0,people
albopt,0.4068,5.0,people
albopt_pow2,0.4224,5.0,people
albopt_pow2_max_c,0.6344,5.0,people
random_sim,0.5236,5.0,people
greedy_sim,0.5373,5.0,people
albopt,0.5936,5.0,people
albopt_pow2,1.3114,5.0,people
albopt_pow2_max_c,1.061,5.0,people
random_sim,0.9743,5.0,people
greedy_sim,2.2741,5.0,people
albopt,0.6144,5.0,people
albopt_pow2,0.8564,5.0,people
albopt_pow2_max_c,1.0256,5.0,people
random_sim,0.3253,5.0,people
greedy_sim,0.8933,5.0,people
albopt,0.3776,5.0,people
albopt_pow2,0.8324,5.0,people
albopt_pow2_max_c,0.9138,5.0,people
random_sim,0.4641,5.0,people
greedy_sim,0.7921,5.0,people
albopt,0.6877,5.0,people
albopt_pow2,1.2946,5.0,people
albopt_pow2_max_c,1.5912,5.0,people
random_sim,0.7713,5.0,people
greedy_sim,1.4008,5.0,people
albopt,0.3429,5.0,people
albopt_pow2,0.71,5.0,people
albopt_pow2_max_c,0.5715,5.0,people
random_sim,0.7557,5.0,people
greedy_sim,1.0596,5.0,people
albopt,0.4973,5.0,people
albopt_pow2,0.8103,5.0,people
albopt_pow2_max_c,1.0228,5.0,people
random_sim,0.954,5.0,people
greedy_sim,1.0899,5.0,people
albopt,0.2093,5.0,people
albopt_pow2,0.4066,5.0,people
albopt_pow2_max_c,0.6531,5.0,people
random_sim,0.718,5.0,people
greedy_sim,0.3233,5.0,people
albopt,0.6091,5.0,people
albopt_pow2,0.9111,5.0,people
albopt_pow2_max_c,0.9904,5.0,people
random_sim,0.7333,5.0,people
greedy_sim,0.7921,5.0,people
albopt,0.4742,5.0,people
albopt_pow2,0.8392,5.0,people
albopt_pow2_max_c,0.8334,5.0,people
random_sim,0.8821,5.0,people
greedy_sim,1.0527,5.0,people
albopt,0.59,5.0,people
albopt_pow2,0.9136,5.0,people
albopt_pow2_max_c,0.7219,5.0,people
random_sim,0.7496,5.0,people
greedy_sim,1.2688,5.0,people
albopt,0.4638,5.0,people
albopt_pow2,0.6845,5.0,people
albopt_pow2_max_c,0.8024,5.0,people
random_sim,0.6881,5.0,people
greedy_sim,0.5893,5.0,people
albopt,0.5715,5.0,people
albopt_pow2,1.0378,5.0,people
albopt_pow2_max_c,1.1451,5.0,people
random_sim,0.5871,5.0,people
greedy_sim,1.1384,5.0,people
albopt,0.2218,5.0,people
albopt_pow2,0.5695,5.0,people
albopt_pow2_max_c,0.5112,5.0,people
random_sim,0.5732,5.0,people
greedy_sim,0.5592,5.0,people
albopt,0.4284,5.0,people
albopt_pow2,0.6145,5.0,people
albopt_pow2_max_c,0.6386,5.0,people
random_sim,0.3106,5.0,people
greedy_sim,0.6167,5.0,people
albopt,0.4259,5.0,people
albopt_pow2,0.6442,5.0,people
albopt_pow2_max_c,0.7257,5.0,people
random_sim,1.1387,5.0,people
greedy_sim,0.6082,5.0,people
albopt,0.2712,5.0,people
albopt_pow2,0.5556,5.0,people
albopt_pow2_max_c,0.5817,5.0,people
random_sim,0.3671,5.0,people
greedy_sim,0.4088,5.0,people
albopt,0.5267,5.0,people
albopt_pow2,0.7046,5.0,people
albopt_pow2_max_c,1.3567,5.0,people
random_sim,1.1457,5.0,people
greedy_sim,0.7427,5.0,people
albopt,0.3584,5.0,people
albopt_pow2,0.7091,5.0,people
albopt_pow2_max_c,0.8565,5.0,people
random_sim,0.9252,5.0,people
greedy_sim,0.6598,5.0,people
albopt,0.6747,5.0,people
albopt_pow2,1.3606,5.0,people
albopt_pow2_max_c,1.2947,5.0,people
random_sim,1.0091,5.0,people
greedy_sim,0.9808,5.0,people
albopt,0.4349,5.0,people
albopt_pow2,0.8826,5.0,people
albopt_pow2_max_c,0.7268,5.0,people
random_sim,0.2906,5.0,people
greedy_sim,1.0931,5.0,people
albopt,0.6639,5.0,people
albopt_pow2,0.7722,5.0,people
albopt_pow2_max_c,0.7349,5.0,people
random_sim,0.6669,5.0,people
greedy_sim,1.0095,5.0,people
albopt,0.5335,5.0,people
albopt_pow2,0.4935,5.0,people
albopt_pow2_max_c,0.5145,5.0,people
random_sim,0.5823,5.0,people
greedy_sim,0.6199,5.0,people
albopt,0.3053,5.0,people
albopt_pow2,0.5931,5.0,people
albopt_pow2_max_c,0.7224,5.0,people
random_sim,0.4297,5.0,people
greedy_sim,0.5409,5.0,people
albopt,0.5899,5.0,people
albopt_pow2,0.6273,5.0,people
albopt_pow2_max_c,0.7443,5.0,people
random_sim,0.7379,5.0,people
greedy_sim,1.2184,5.0,people
albopt,0.7773,5.0,people
albopt_pow2,1.3897,5.0,people
albopt_pow2_max_c,1.1767,5.0,people
random_sim,1.0141,5.0,people
greedy_sim,1.719,5.0,people
albopt,0.3903,5.0,people
albopt_pow2,0.8558,5.0,people
albopt_pow2_max_c,0.8861,5.0,people
random_sim,0.5109,5.0,people
greedy_sim,0.7438,5.0,people
albopt,0.5979,25.0,people
albopt_pow2,0.9442,25.0,people
albopt_pow2_max_c,0.7815,25.0,people
random_sim,0.5078,25.0,people
greedy_sim,0.7443,25.0,people
albopt,0.3945,25.0,people
albopt_pow2,0.5408,25.0,people
albopt_pow2_max_c,0.4297,25.0,people
random_sim,0.8375,25.0,people
greedy_sim,0.6752,25.0,people
albopt,0.5514,25.0,people
albopt_pow2,0.6911,25.0,people
albopt_pow2_max_c,0.823,25.0,people
random_sim,0.3556,25.0,people
greedy_sim,0.844,25.0,people
albopt,0.469,25.0,people
albopt_pow2,0.6163,25.0,people
albopt_pow2_max_c,0.5868,25.0,people
random_sim,0.5462,25.0,people
greedy_sim,0.8243,25.0,people
albopt,0.6058,25.0,people
albopt_pow2,0.7602,25.0,people
albopt_pow2_max_c,0.8591,25.0,people
random_sim,0.5304,25.0,people
greedy_sim,0.9545,25.0,people
albopt,0.5717,25.0,people
albopt_pow2,1.1995,25.0,people
albopt_pow2_max_c,1.5654,25.0,people
random_sim,1.7427,25.0,people
greedy_sim,1.3983,25.0,people
albopt,0.148,25.0,people
albopt_pow2,0.2688,25.0,people
albopt_pow2_max_c,0.3736,25.0,people
random_sim,0.584,25.0,people
greedy_sim,0.3445,25.0,people
albopt,0.3274,25.0,people
albopt_pow2,0.479,25.0,people
albopt_pow2_max_c,0.5615,25.0,people
random_sim,1.3409,25.0,people
greedy_sim,0.558,25.0,people
albopt,0.3664,25.0,people
albopt_pow2,0.6436,25.0,people
albopt_pow2_max_c,0.6018,25.0,people
random_sim,0.5189,25.0,people
greedy_sim,0.8602,25.0,people
